Date,Mkt-RF,SMB,HML,RMW,CMA,RF
21/04/2017,-0.28,0.06,-0.15,0.35,-0.19,0.003
24/04/2017,1.18,0.29,0.5,-0.07,0.16,0.003
25/04/2017,0.65,0.39,-0.07,-0.38,0.31,0.003
26/04/2017,0.04,0.75,0.32,0.23,0.01,0.003
27/04/2017,0.05,-0.2,-0.98,0.2,-0.57,0.003
28/04/2017,-0.3,-0.76,-0.61,0.1,-0.19,0.003
01/05/2017,0.21,0.25,-0.13,-0.17,-0.5,0.003
02/05/2017,0.03,-0.47,-0.21,0.4,-0.35,0.003
03/05/2017,-0.19,-0.52,0.22,-0.04,0.13,0.003
04/05/2017,0.02,-0.13,-0.36,0.36,-0.71,0.003
05/05/2017,0.46,0.11,0,-0.22,0.65,0.003
08/05/2017,-0.04,-0.21,0.26,0.13,0.08,0.003
09/05/2017,-0.05,0.4,-0.81,0.34,-0.37,0.003
10/05/2017,0.2,0.25,0.03,-0.31,0.39,0.003
11/05/2017,-0.26,-0.43,-0.15,-0.25,-0.02,0.003
12/05/2017,-0.18,-0.38,-0.61,-0.27,-0.33,0.003
15/05/2017,0.53,0.25,0.2,-0.31,0.04,0.003
16/05/2017,-0.03,0.1,-0.09,-0.25,-0.12,0.003
17/05/2017,-1.97,-0.96,-0.6,0.53,0.29,0.003
18/05/2017,0.4,0,-0.39,-0.33,-0.59,0.003
19/05/2017,0.7,-0.34,0.4,-0.09,0.79,0.003
22/05/2017,0.56,0.25,-0.3,-0.04,-0.31,0.003
23/05/2017,0.18,-0.01,0.65,-0.23,0.08,0.003
24/05/2017,0.24,-0.19,-0.46,0.14,-0.3,0.003
25/05/2017,0.42,-0.35,-0.75,0.54,-0.63,0.003
26/05/2017,0.06,-0.03,0.1,0.18,0.14,0.003
30/05/2017,-0.19,-0.54,-0.34,0.63,-0.04,0.003
31/05/2017,-0.02,-0.04,-0.53,0.28,-0.09,0.003
01/06/2017,0.95,1.03,0.04,-0.2,0.05,0.003
02/06/2017,0.35,0.44,-0.76,0.15,-0.48,0.003
05/06/2017,-0.17,-0.46,-0.03,-0.17,0.05,0.003
06/06/2017,-0.28,0.1,-0.03,-0.47,0.38,0.003
07/06/2017,0.15,-0.12,-0.04,0.53,-0.67,0.003
08/06/2017,0.18,1.19,0.93,-0.69,-0.05,0.003
09/06/2017,-0.12,0.31,2.44,-0.15,1.09,0.003
12/06/2017,-0.11,-0.17,0.34,0.08,0.57,0.003
13/06/2017,0.55,0.06,-0.14,-0.3,-0.08,0.003
14/06/2017,-0.17,-0.55,-0.52,0.12,-0.52,0.003
15/06/2017,-0.3,-0.31,-0.11,0.08,-0.1,0.003
16/06/2017,-0.03,-0.25,-0.15,-0.46,0.16,0.003
19/06/2017,0.86,0.1,-0.75,-0.11,-0.1,0.003
20/06/2017,-0.73,-0.45,-0.48,-0.21,-0.23,0.003
21/06/2017,-0.07,-0.23,-1.67,-0.23,-1.15,0.003
22/06/2017,0.02,0.46,-0.4,-0.17,-0.03,0.003
23/06/2017,0.24,0.75,-0.48,-0.37,0.08,0.003
26/06/2017,0.04,0.09,0.7,0.22,0.18,0.003
27/06/2017,-0.85,-0.21,1.34,0.34,0.35,0.003
28/06/2017,1.02,0.8,0.21,-0.2,-0.1,0.003
29/06/2017,-0.83,0.05,1.37,-0.23,0.34,0.003
30/06/2017,0.14,-0.09,-0.29,0.21,0.3,0.003
03/07/2017,0.24,0.44,1.21,-0.53,0.71,0.004
05/07/2017,0.12,-0.69,-0.58,0.14,-0.67,0.004
06/07/2017,-0.95,-0.44,0.12,0.21,-0.08,0.004
07/07/2017,0.7,0.4,-0.41,0.18,-0.5,0.004
10/07/2017,0.05,-0.47,-0.08,-0.12,-0.01,0.004
11/07/2017,0,0.29,-0.55,-0.33,0.18,0.004
12/07/2017,0.72,0.06,-0.53,0.12,-0.21,0.004
13/07/2017,0.17,-0.01,0.39,-0.04,0.18,0.004
14/07/2017,0.42,-0.22,-0.52,0.16,-0.01,0.004
17/07/2017,0,0.22,0.1,0.18,0.08,0.004
18/07/2017,0.04,-0.37,-0.31,-0.09,-0.42,0.004
19/07/2017,0.59,0.46,0.03,-0.23,0.2,0.004
20/07/2017,-0.01,0.05,-0.04,0.12,-0.28,0.004
21/07/2017,-0.08,-0.42,-0.24,-0.01,-0.33,0.004
24/07/2017,-0.03,0.11,-0.19,-0.24,-0.41,0.004
25/07/2017,0.38,0.44,0.96,-0.19,0.65,0.004
26/07/2017,-0.06,-0.49,-0.77,-0.16,0.07,0.004
27/07/2017,-0.14,-0.68,0.44,0.28,0.35,0.004
28/07/2017,-0.17,-0.06,0.26,-0.21,0.25,0.004
31/07/2017,-0.11,-0.28,0.43,-0.07,0.04,0.004
01/08/2017,0.24,-0.13,0.14,0.27,-0.49,0.004
02/08/2017,-0.08,-1.16,0.14,0.04,-0.38,0.004
03/08/2017,-0.21,-0.35,-0.33,0.28,-0.35,0.004
04/08/2017,0.25,0.36,0.39,-0.03,0.08,0.004
07/08/2017,0.16,-0.1,-0.58,0.23,-0.36,0.004
08/08/2017,-0.24,-0.08,0.24,-0.33,-0.19,0.004
09/08/2017,-0.14,-0.8,-0.07,0.14,0.04,0.004
10/08/2017,-1.49,-0.31,0.27,0.3,0.11,0.004
11/08/2017,0.19,0.17,-0.87,0.36,-0.08,0.004
14/08/2017,1.03,0.33,0.13,-0.05,-0.46,0.004
15/08/2017,-0.11,-0.87,-0.03,-0.17,-0.25,0.004
16/08/2017,0.18,-0.14,-0.44,0.33,-0.14,0.004
17/08/2017,-1.6,-0.18,-0.17,-0.04,0.14,0.004
18/08/2017,-0.15,0.11,0.24,-0.27,-0.01,0.004
21/08/2017,0.06,-0.27,-0.22,0.2,-0.14,0.004
22/08/2017,1.06,-0.02,-0.24,-0.17,0.18,0.004
23/08/2017,-0.33,0.12,0.41,-0.49,0.12,0.004
24/08/2017,-0.14,0.57,0.17,-0.49,0.21,0.004
25/08/2017,0.18,0.16,0.56,0.12,0.24,0.004
28/08/2017,0.08,0.31,-0.73,0.18,-0.1,0.004
29/08/2017,0.1,0.09,-0.38,0,0.08,0.004
